Year,Stage,away_team,date,home_team,home_result,away_result,winner
2010,Group B,"Korea, South",17/06/2010 13:30,Argentina,4,1,Argentina
2010,Group B,Nigeria,17/06/2010 16:00,Greece,2,1,Greece
2010,Group A,Mexico,17/06/2010 20:30,France,0,2,Mexico
2010,Group D,Serbia,18/06/2010 13:30,Germany,0,1,Serbia
2010,Group C,United States,18/06/2010 16:00,Slovenia,2,2,draw
2010,Group C,Algeria,18/06/2010 20:30,United Kingdom,0,0,draw
2010,Group E,Japan,19/06/2010 13:30,Netherlands,1,0,Netherlands
2010,Group D,Australia,19/06/2010 16:00,Ghana,1,1,draw
2010,Group E,Denmark,19/06/2010 20:30,Cameroon,1,2,Denmark
2010,Group F,Paraguay,20/06/2010 13:30,Slovakia,0,2,Paraguay
2010,Group F,New Zealand,20/06/2010 16:00,Italy,1,1,draw
2010,Group G,Cote d'Ivoire,20/06/2010 20:30,Brazil,3,1,Brazil
2010,Group G,"Korea, North",21/06/2010 13:30,Portugal,7,0,Portugal
2010,Group H,Switzerland,21/06/2010 16:00,Chile,1,0,Chile
2010,Group H,Honduras,21/06/2010 20:30,Spain,2,0,Spain
2010,Group A,Uruguay,22/06/2010 16:00,Mexico,0,1,Uruguay
2010,Group A,South Africa,22/06/2010 16:00,France,1,2,South Africa
2010,Group B,"Korea, South",22/06/2010 20:30,Nigeria,2,2,draw
2010,Group B,Argentina,22/06/2010 20:30,Greece,0,2,Argentina
2010,Group C,United Kingdom,23/06/2010 16:00,Slovenia,0,1,United Kingdom
2010,Group C,Algeria,23/06/2010 16:00,United States,1,0,United States
2010,Group D,Germany,23/06/2010 20:30,Ghana,0,1,Germany
2010,Group D,Serbia,23/06/2010 20:30,Australia,2,1,Australia
2010,Group F,Italy,24/06/2010 16:00,Slovakia,3,2,Slovakia
2010,Group F,New Zealand,24/06/2010 16:00,Paraguay,0,0,draw
2010,Group E,Japan,24/06/2010 20:30,Denmark,1,3,Japan
2010,Group E,Netherlands,24/06/2010 20:30,Cameroon,1,2,Netherlands
2010,Group G,Brazil,25/06/2010 16:00,Portugal,0,0,draw
2010,Group G,Cote d'Ivoire,25/06/2010 16:00,"Korea, North",0,3,Cote d'Ivoire
2010,Group H,Spain,25/06/2010 20:30,Chile,1,2,Spain
2010,Group H,Honduras,25/06/2010 20:30,Switzerland,0,0,draw
2010,Round of 16,"Korea, South",26/06/2010 16:00,Uruguay,2,1,Uruguay
2010,Round of 16,Ghana,26/06/2010 20:30,United States,1,2,Ghana 
2010,Round of 16,United Kingdom,27/06/2010 16:00,Germany,4,1,Germany
2010,Round of 16,Mexico,27/06/2010 20:30,Argentina,3,1,Argentina
2010,Round of 16,Slovakia,28/06/2010 16:00,Netherlands,2,1,Netherlands
2010,Round of 16,Chile,28/06/2010 20:30,Brazil,3,0,Brazil
2010,Round of 16,Japan,29/06/2010 16:00,Paraguay,0,0,Paraguay 
2010,Round of 16,Portugal,29/06/2010 20:30,Spain,1,0,Spain
2010,Quarter-finals,Brazil,2/07/2010 16:00,Netherlands,2,1,Netherlands
2010,Quarter-finals,Ghana,2/07/2010 20:30,Uruguay,1,1,Uruguay 
2010,Quarter-finals,Germany,3/07/2010 16:00,Argentina,0,4,Germany
2010,Quarter-finals,Spain,3/07/2010 20:30,Paraguay,0,1,Spain
